Sentence,intent,entity_name_1,entity_value_1,entity_name_2,entity_value_2,entity_name_3,entity_value_3
hello good morning,greeting,,,,,,
can you guide me to buy the ticket,confirm_question,,,,,,
What are the movies available?,moviename,,,,,,
I want to buy 2 tickets to watch strangers at liberty,inform,numberofpeople,2,moviename,strangers,theater,liberty
what time is available to watch the super six movie?,starttime,moviename,super six,,,,
which date and start time available to buy tickets?,date+starttime,,,,,,
Which state will have tickets available on Monday?,state,date,Monday,,,,
Can I book tickets to watch 4.30 p.m. show in Savoy?,ticket,starttime,4.30 p.m.,theater,Savoy,,
Who is the lead actor in The first?,actor,moviename,The first,,,,
can you help me buy tickets for 5 people and 2 kids?,ticket,numberofpeople,5,numberofkids,2,,
What is the theater chain that shows the Infinity war at Pittsburgh?,theater_chain,city,Pittsburgh,moviename,Infinity war,,
what are the ratings for Avengers?,mpaa_rating,moviename,Avengers,,,,
No thats not it,deny,,,,,,
"Okay, thats cool",confirm_answer,,,,,,
thanks that was helpful,thanks,,,,,,
hi i need to buy a ticket for tomorrow,inform,numberofpeople,1,date,tomorrow,,
Which day Foxtrot playing in seattle,date,moviename,Foxtrot,city,seattle,,
What date is it playing in nyc,date,city,nyc,,,,
what are the cities the Black swan playing,city,moviename,Black swan,,,,
"No, not that",deny,,,,,,
What is the name of the theater that plays The fault in our stars on Sunday,theater,moviename,The fault in our stars,date,Sunday,,
I'd like watch a horror movie in san francisco,inform,genre,horror,city,san francisco,,
Can I get the availble available theater and start time,theater+starttime,,,,,,
I want to watch a comedy movie in nyc,inform,genre,comedy,city,nyc,,
Which theater playing Deadpool in  hamilton?,theater,moviename,Deadpool ,city,hamilton,,
What are the interest things about the movie?,other,,,,,,
What is the name of the movie plays in Liberty at Colombo by 10.30 a.m.,moviename,theater,Liberty,city,Colombo,starttime,10.30 a.m.
At what time I can book 3 tickets?,starttime,numberofpeople,3,,,,
can you please buy 7 tickets for the magnificent movie for the 8.00 pm,ticket,numberofpeople,7,moviename,magnificent,starttime,8.00 pm
yeah,confirm_answer,,,,,,
database ,confirm_answer,,,,,,
I don't think so,deny,,,,,,
Hello there,greeting,,,,,,
I like to watch London has fallen in NYC,inform,moviename,London has fallen,city,NYC,,
I like to get tickets at amc loews waterfront 22,inform,theater_chain,amc loews waterfront 22,,,,
"hello, can I book tickets for Black swan",ticket,moviename,Black swan,,,,
Is tickets for 3d version available,ticket,video_format,3d,,,,
When can I book for 20 people,date,numberofpeople,20,,,,
Can I know which time and date is available in Florida,date+starttime,city,Florida,,,,
Nope,deny,,,,,,
